資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20240419,00642U,12,7,3572000,2.83
20240419,00642U,13,1,767066,0.60
20240419,00642U,14,0,0,0.00
20240419,00642U,15,9,35575258,28.27
20240419,00642U,16,0,0,0.00
20240419,00642U,17,11770,125821000,100.00
20240419,00643,1,356,109208,0.10
20240419,00643,2,2420,6415054,5.96
20240419,00643,3,850,7128256,6.62
20240419,00643,4,309,4095783,3.80
20240419,00643,5,249,4682586,4.35
20240419,00643,6,258,6728285,6.25
20240419,00643,7,126,4625562,4.29
20240419,00643,8,106,5094340,4.73
20240419,00643,9,170,12451400,11.57
20240419,00643,10,68,9852827,9.15
20240419,00643,11,28,8561391,7.95
20240419,00643,12,11,5482000,5.09
20240419,00643,13,4,2664000,2.47
20240419,00643,14,4,3505000,3.25
20240419,00643,15,6,26177308,24.33
20240419,00643,16,0,0,0.00
20240419,00643,17,4965,107573000,100.00
20240419,00643K,1,0,0,0.00
20240419,00643K,2,2,5000,3.93
20240419,00643K,3,0,0,0.00
20240419,00643K,4,0,0,0.00
20240419,00643K,5,1,19000,14.96
20240419,00643K,6,1,25000,19.68
20240419,00643K,7,0,0,0.00
20240419,00643K,8,0,0,0.00
20240419,00643K,9,1,78000,61.41
20240419,00643K,10,0,0,0.00
20240419,00643K,11,0,0,0.00
20240419,00643K,12,0,0,0.00
20240419,00643K,13,0,0,0.00
20240419,00643K,14,0,0,0.00
20240419,00643K,15,0,0,0.00
20240419,00643K,16,0,0,0.00
20240419,00643K,17,5,127000,100.00
20240419,00645,1,5243,1295353,1.52
20240419,00645,2,5551,11381137,13.39
20240419,00645,3,815,6482414,7.62
20240419,00645,4,229,2966744,3.49
20240419,00645,5,169,3195356,3.75
20240419,00645,6,125,3212330,3.77
20240419,00645,7,46,1629500,1.91
20240419,00645,8,41,1954690,2.29
20240419,00645,9,55,3836918,4.51
20240419,00645,10,17,2612000,3.07
20240419,00645,11,5,1609000,1.89
20240419,00645,12,5,2373000,2.79
20240419,00645,13,5,3311343,3.89
20240419,00645,14,4,3658846,4.30
20240419,00645,15,4,35478369,41.74
20240419,00645,16,0,0,0.00
20240419,00645,17,12314,84997000,100.00
20240419,00646,1,14843,4406292,1.20
20240419,00646,2,13125,27893158,7.60
20240419,00646,3,2259,16663033,4.54
20240419,00646,4,708,8861802,2.41
20240419,00646,5,392,7024844,1.91
20240419,00646,6,358,8957395,2.44
20240419,00646,7,184,6483753,1.76
20240419,00646,8,97,4470058,1.21
20240419,00646,9,169,12251692,3.33
20240419,00646,10,59,8464418,2.30
20240419,00646,11,23,6715218,1.82
20240419,00646,12,8,4006000,1.09
20240419,00646,13,4,2836000,0.77
20240419,00646,14,5,4537075,1.23
20240419,00646,15,22,243414262,66.32
20240419,00646,16,0,0,0.00
20240419,00646,17,32256,366985000,100.00
20240419,00647L,1,492,76917,1.11
20240419,00647L,2,444,900528,13.02
20240419,00647L,3,80,590947,8.54
20240419,00647L,4,29,371711,5.37
20240419,00647L,5,16,285400,4.12
20240419,00647L,6,14,344000,4.97
20240419,00647L,7,6,191000,2.76
20240419,00647L,8,2,95000,1.37
20240419,00647L,9,15,1049000,15.16
20240419,00647L,10,5,692877,10.01
20240419,00647L,11,2,437000,6.31
20240419,00647L,12,2,857983,12.40
20240419,00647L,13,0,0,0.00
20240419,00647L,14,0,0,0.00
20240419,00647L,15,1,1023637,14.80
20240419,00647L,16,0,0,0.00
20240419,00647L,17,1108,6916000,100.00
20240419,00648R,1,65,13558,0.00
20240419,00648R,2,931,2430711,1.26
20240419,00648R,3,399,3339536,1.74
20240419,00648R,4,193,2549301,1.32
20240419,00648R,5,188,3536183,1.84
20240419,00648R,6,202,5388831,2.81
20240419,00648R,7,124,4513000,2.35
20240419,00648R,8,102,4845300,2.52
20240419,00648R,9,232,17548805,9.15
20240419,00648R,10,128,18642015,9.72
20240419,00648R,11,56,15839000,8.26
20240419,00648R,12,18,8681000,4.52
20240419,00648R,13,11,7549000,3.93
20240419,00648R,14,2,1810000,0.94
20240419,00648R,15,16,95001760,49.56
20240419,00648R,16,0,0,0.00
20240419,00648R,17,2667,191688000,100.00
20240419,00650L,1,157,35109,0.00
20240419,00650L,2,1705,4763687,1.18
20240419,00650L,3,956,8119512,2.02
20240419,00650L,4,494,6562693,1.63
20240419,00650L,5,445,8446412,2.10
20240419,00650L,6,470,12555638,3.13
20240419,00650L,7,279,10163600,2.53
20240419,00650L,8,262,12335480,3.08
20240419,00650L,9,545,41015923,10.24
20240419,00650L,10,299,43091935,10.76
20240419,00650L,11,134,38398400,9.59
20240419,00650L,12,48,23347974,5.83
20240419,00650L,13,16,11128000,2.77
20240419,00650L,14,13,12051012,3.01
20240419,00650L,15,49,168322625,42.04
20240419,00650L,16,0,0,0.00
20240419,00650L,17,5872,400338000,100.00
20240419,00651R,1,32,1451,0.00
20240419,00651R,2,130,303499,1.66
20240419,00651R,3,64,545903,3.00
20240419,00651R,4,21,282000,1.55
20240419,00651R,5,24,461000,2.53
20240419,00651R,6,17,465000,2.55
20240419,00651R,7,12,432000,2.37
20240419,00651R,8,8,400000,2.19
20240419,00651R,9,16,1123000,6.17
20240419,00651R,10,19,2645000,14.53
20240419,00651R,11,10,2804544,15.41
20240419,00651R,12,2,1149792,6.32
20240419,00651R,13,3,2018000,11.09
20240419,00651R,14,1,810000,4.45
20240419,00651R,15,2,4750811,26.11
